NCBI_virus_name|Virus.GENBANK.accession|NCBI_host
Synedrella_yellow_vein_clearing_virus_isolate_NCBS-PS-1_segment_DNA-A,_complete_sequence_|NC_038994.1|Synedrella_nodiflora
Dioscorea_bacilliform_TR_virus_strain_DBV9,_complete_genome_|NC_038995.1|Dioscorea_trifida
Sophora_alopecuroides_yellow_stunt_alphasatellite_8_isolate_Ta1,_complete_sequence_|NC_038996.1|Sophora_alopecuroides
Sophora_alopecuroides_yellow_stunt_alphasatellite_1a_isolate_Ta1,_complete_sequence_|NC_038997.1|Sophora_alopecuroides
Sophora_alopecuroides_yellow_stunt_alphasatellite_7a_isolate_Ta1,_complete_sequence_|NC_038998.1|Sophora_alopecuroides
Sophora_alopecuroides_yellow_stunt_alphasatellite_4_isolate_Ta1,_complete_sequence_|NC_038999.1|Sophora_alopecuroides
Sophora_alopecuroides_yellow_stunt_alphasatellite_9_isolate_Ta1,_complete_sequence_|NC_039000.1|Sophora_alopecuroides
Desmodium_mottle_virus_isolate_UG5_segment_DNA-A,_complete_sequence_|NC_039001.1|Desmodium
Bellflower_veinal_mottle_virus_isolate_SW,_complete_genome_|NC_039002.1|Campanula_takesimana
Malachra_yellow_mosaic_virus_DNA,_segment_DNA-A,_complete_sequence,_isolate:_Barasat_|NC_039003.1|Malachra_capitata
Penguin_megrivirus_isolate_KGI-Bel-P5/2015,_complete_genome_|NC_039004.1|Pygoscelis_adeliae
University_of_Giessen_virus_strain_UGV-1_segment_S_GPC_and_NP_genes,_complete_cds_|NC_039005.1|Boa_constrictor
University_of_Giessen_virus_strain_UGV-1_segment_L_Z_protein_and_RdRp_genes,_complete_cds_|NC_039006.1|Boa_constrictor
Tavallinen_suomalainen_mies_virus_clone_TSMV-2_S_F15133_glycoprotein_precursor_and_nucleoprotein_genes,_complete_cds_|NC_039007.1|
Tavallinen_suomalainen_mies_virus_clone_TSMV-2_L_F15-133_Z-protein_and_RNA-dependent_RNA_polymerase_genes,_complete_cds_|NC_039008.1|
Rat_arenavirus_1_isolate_YN2013_segment_S,_complete_sequence_|NC_039009.1|Mus_caroli
Rat_arenavirus_1_isolate_YN2013_segment_L,_complete_sequence_|NC_039010.1|Mus_caroli
Souris_virus_isolate_PREDICT-05775,5302,5304_segment_L,_complete_sequence_|NC_039011.1|Praomys
Souris_virus_isolate_PREDICT-05775,5302,5304_segment_S,_complete_sequence_|NC_039012.1|Praomys
Jungle_carpet_python_virus,_complete_genome_|NC_039013.1|Morelia_spilota
Southwest_carpet_python_virus,_complete_genome_|NC_039014.1|Morelia_spilota
Avian_paramyxovirus_14_isolate_APMV14/duck/Japan/11OG0352/2011,_complete_genome_|NC_039015.1|Anatidae
Avian_paramyxovirus_UPO216_isolate_APMV-15/WB/Kr/UPO216/2014,_complete_genome_|NC_039016.1|Anas_platyrhynchos
Antarctic_penguin_virus_A,_complete_genome_|NC_039017.1|Pygoscelis_papua
Antarctic_penguin_virus_B,_complete_genome_|NC_039018.1|Pygoscelis_papua
Antarctic_penguin_virus_C,_complete_genome_|NC_039019.1|Pygoscelis_papua
Kanyawara_virus_isolate_MPK004_nucleoprotein,_phosphoprotein,_matrix,_glycoprotein,_and_polymerase_genes,_complete_cds_|NC_039020.1|Dipseliopoda
Beatrice_Hill_virus_isolate_CSIRO_25,_complete_genome_|NC_039021.1|Culicoides_peregrinus
Puma_feline_foamy_virus_isolate_FFVpc-X102,_complete_genome_|NC_039022.1|Puma_concolor
Brown_greater_galago_prosimian_foamy_virus,_complete_genome_|NC_039023.1|Otolemur_crassicaudatus
Central_cimpanzee_simian_foamy_virus_isolate_BAD327,_complete_genome_|NC_039024.1|Homo_sapiens
Eastern_chimpanzee_simian_foamy_virus_clone_pHSRV13,_complete_genome_|NC_039025.1|Homo_sapiens
Japanese_macaque_simian_foamy_virus_proviral_DNA,_complete_genome,_clone:_JM356_|NC_039026.1|Mus_terricolor
Spider_monkey_foamy_virus_strain_ATCC_VR-940,_complete_genome_|NC_039027.1|
Squirrel_monkey_foamy_virus_isolate_1224,_complete_genome_|NC_039028.1|Saimiri
Western_lowland_gorilla_simian_foamy_virus,_complete_genome_|NC_039029.1|Gorilla_gorilla_gorilla
White-tufted-ear_marmoset_simian_foamy_virus,_complete_genome_|NC_039030.1|Callithrix
Yellow-breasted_capuchin_simian_foamy_virus_isolate_Z17,_complete_genome_|NC_039031.1|Sapajus_xanthosternos
Psittacine_aviadenovirus_B_isolate_CS15-4016,_complete_genome_|NC_039032.1|Poicephalus_rufiventris
Bat_associated_circovirus_9_isolate_BtRf-CV-61/YN2010,_complete_genome_|NC_039033.1|Rhinolophus_ferrumequinum
Common_midwife_toad_ranavirus_isolate_Pelophylax_kl._esculentus/2013/NL,_complete_genome_|NC_039034.1|Pelophylax_lessonae
Barley_yellow_dwarf_virus-GPV_isolate_05YC3_coat_protein_gene,_complete_cds_|NC_039035.1|
Giraffa_camelopardalis_papillomavirus_1_isolate_GC2011,_complete_genome_|NC_039036.1|Giraffa_camelopardalis
Pudu_puda_papillomavirus_type_1,_complete_genome_|NC_039037.1|Pudu_puda
Talpa_europaea_papillomavirus_isolate_Bruges/2009/22,_complete_genome_|NC_039038.1|Talpa_europaea
Peromyscus_papillomavirus_type_1_strain_M-14_PmPV1,_complete_genome_|NC_039039.1|Peromyscus_maniculatus
Myotis_ricketti_papillomavirus_1,_complete_genome_|NC_039040.1|Myotis_ricketti
Rusa_timorensis_papillomavirus_type_1_isolate_IZW_39/08,_complete_genome_|NC_039041.1|Rusa_timorensis
Cervus_elaphus_papillomavirus_type_2,_complete_genome_|NC_039042.1|Cervus_elaphus
Penaeus_stylirostris_penstyldensovirus_1_non-structural_protein_1,_non-structural_protein_2,_and_capsid_protein_genes,_complete_cds_|NC_039043.1|Penaeus_stylirostris
Feline_bocaparvovirus_3_isolate_FBD1,_complete_genome_|NC_039044.1|Felis_catus
Myotis_myotis_bocavirus_1,_complete_genome_|NC_039045.1|Myotis_myotis
Bat_bocavirus_WM40_nonstructural_protein_(NS1),_hypothetical_protein_(NP1),_capsid_protein_VP1_(VP1),_and_capsid_protein_VP2_(VP2)_genes,_complete_cds_|NC_039046.1|Miniopterus_fuliginosus
Bat_bocavirus_XM30_nonstructural_protein_(NS1),_hypothetical_protein_(NP1),_capsid_protein_VP1_(VP1),_and_capsid_protein_VP2_(VP2)_genes,_complete_cds_|NC_039047.1|Miniopterus_fuliginosus
Miniopterus_schreibersii_bat_bocaparvovirus_strain_str24_NS1_(NS1)_gene,_complete_cds;_NS2_(NS2)_gene,_complete_cds,_alternatively_spliced;_and_NP1_(NP1),_VP1_(VP1),_and_VP2_(VP2)_genes,_complete_cds_|NC_039048.1|Miniopterus_schreibersii
WUHARV_Parvovirus_1_nonstructural_protein_1_and_VP-1_genes,_complete_cds_|NC_039049.1|Macaca_mulatta
Cutavirus_strain_BR-337_NS1,_putative_VP1,_hypothetical_protein,_VP2,_and_hypothetical_protein_genes,_complete_cds_|NC_039050.1|Homo_sapiens
Piliocolobus_badius_polyomavirus_2_isolate_5947,_complete_genome_|NC_039051.1|
Erythrura_gouldiae_polyomavirus_1_strain_1209,_complete_genome_|NC_039052.1|Chloebia_gouldiae
Lonchura_maja_polyomavirus_1_strain_14534/2011,_complete_genome_|NC_039053.1|Lonchura_maja
Circoviridae_bovine_stool/BK/KOR/2011_isolate_CP11-49-3,_complete_genome_|NC_039054.1|Bos_taurus
Odonata-associated_circular_virus-21_isolate_OdasCV-21-US-1679SC3-12,_complete_genome_|NC_039055.1|Erythrodiplax_fusca
Odonata-associated_circular_virus-5_isolate_OdasCV-5-US-1683LM1-12,_complete_genome_|NC_039056.1|Libellula_quadrimaculata
Camel_associated_drosmacovirus_1,_complete_genome_|NC_039057.1|Camelus_bactrianus
Camel_associated_drosmacovirus_2,_complete_genome_|NC_039058.1|Camelus_bactrianus
Chicken_associated_huchismacovirus_1,_complete_genome_|NC_039059.1|Gallus_gallus
Chicken_associated_huchismacovirus_2,_complete_genome_|NC_039060.1|Gallus_gallus
Human_associated_huchismacovirus_1_isolate_Oregon/6/2011/GottageGrove/5A1,_complete_genome_|NC_039061.1|Homo_sapiens
Human_associated_huchismacovirus_2_isolate_France/8/2008/2444,_complete_genome_|NC_039062.1|Homo_sapiens
Human_associated_huchismacovirus_3_isolate_France/1/2009/3664,_complete_genome_|NC_039063.1|Homo_sapiens
Camel_associated_porprismacovirus_1_isolate_DcSCV_c1378,_complete_genome_|NC_039064.1|Camelus_bactrianus
Camel_associated_porprismacovirus_2_isolate_DcSCV_c1072,_complete_genome_|NC_039065.1|Camelus_bactrianus
Camel_associated_porprismacovirus_3_isolate_DcSCV_c1345,_complete_genome_|NC_039066.1|Camelus_bactrianus
Camel_associated_porprismacovirus_4_isolate_DcSCV_c1358,_complete_genome_|NC_039067.1|Camelus_bactrianus
Chimpanzee_associated_porprismacovirus_1_isolate_DP152,_complete_genome_|NC_039068.1|Pan_troglodytes
Chimpanzee_associated_porprismacovirus_2_isolate_GM495,_complete_genome_|NC_039069.1|Pan_troglodytes
Human_feces_smacovirus_2_strain_SmaCV2,_complete_genome_|NC_039070.1|Homo_sapiens
Porcine_associated_porprismacovirus_4_isolate_DP2,_complete_genome_|NC_039071.1|Sus_scrofa
Grapevine_fabavirus_isolate_BB_segment_RNA2_polyprotein_gene,_complete_cds_|NC_039072.1|Vitis_vinifera
Grapevine_fabavirus_isolate_NP_segment_RNA1_polyprotein_gene,_complete_cds_|NC_039073.1|Vitis_vinifera
Tomato_necrotic_streak_virus_isolate_13-382_segment_RNA2,_complete_sequence_|NC_039074.1|Solanum_lycopersicum
Tomato_necrotic_streak_virus_isolate_13-382_segment_RNA1,_complete_sequence_|NC_039075.1|Solanum_lycopersicum
Tomato_necrotic_streak_virus_isolate_13-382_segment_RNA3,_complete_sequence_|NC_039076.1|Solanum_lycopersicum
Prunus_virus_F_isolate_8816-v1_segment_RNA1_polyprotein_1_gene,_complete_cds_|NC_039077.1|Prunus_avium
Prunus_virus_F_isolate_8816-s1_segment_RNA2_polyprotein_2_gene,_complete_cds_|NC_039078.1|Prunus_avium
Nanovirus-like_particle_rep_gene,_isolate_1_|NC_039079.1|
Nanovirus-like_particle_rep_gene_for_replication-associated_protein_|NC_039080.1|Ageratum_conyzoides
Nanovirus-like_particle_rep_gene_for_replication_associated_protein,_clone_SB45-2_|NC_039081.1|Gossypium_hirsutum
Euphorbia_mosaic_virus_Peru_DNA-A,_complete_genome_|NC_039082.1|Euphorbia_heterophylla
Bendhi_Yellow_Vein_Mosaic/Mesta_Yellow_Vein_Mosaic_alphasatellite,_complete_sequence,_clone_10a1-RCA-aI-F_|NC_039083.1|Abelmoschus_esculentus
Hollyhock_yellow_vein_virus_associated_symptomless_alphasatellite,_isolate_[Pakistan:17-5:06]_Lahore2_|NC_039084.1|Alcea_rosea
Simian_foamy_virus-orangutan_complete_proviral_genome,_isolate_bella_|NC_039085.1|Pongo_pygmaeus_pygmaeus
Human_papillomavirus_type_187_isolate_ACS447,_complete_genome_|NC_039086.1|Homo_sapiens
Heracleum_latent_virus_RNA_binding_protein_gene_|NC_039087.1|Heracleum_sphondylium
Cardamom_mosaic_virus_isolate_KS,_complete_genome_|NC_039088.1|Elettaria_cardamomum
Human_papillomavirus_type_71_DNA,_complete_genome_|NC_039089.1|
Tete_virus_strain_SAAn_3518_polyprotein_gene,_complete_cds_|NC_039183.1|Ploceus_cucullatus
Tete_virus_strain_SAAn_3518_RNA-dependent_RNA_polymerase_gene,_complete_cds_|NC_039184.1|Ploceus_cucullatus
Tete_virus_strain_SAAn_3518_nucleocapsid_protein_gene,_complete_cds_|NC_039185.1|Ploceus_cucullatus
Wyeomyia_virus_strain_original_RNA-dependent_RNA_polymerase_gene,_complete_cds_|NC_039186.1|
Wyeomyia_virus_strain_original_polyprotein_gene,_complete_cds_|NC_039187.1|
Wyeomyia_virus_strain_original_nucleocapsid_protein_gene,_complete_cds_|NC_039188.1|
Parrot_bornavirus_1_strain_M25_N_protein_(N),_X_protein_(X),_P_protein_(P),_matrix_protein_(M),_glycoprotein_(G),_and_viral_polymerase_(L)_genes,_complete_cds_|NC_039189.1|Diopsittaca_nobilis
Parrot_bornavirus_5_strain_2014-A,_partial_genome_|NC_039190.1|Ara_ararauna
Punta_Toro_virus_strain_Adames_M_protein_gene,_complete_cds_|NC_039191.1|Homo_sapiens
Punta_Toro_virus_strain_Adames_L_protein_gene,_complete_cds_|NC_039192.1|Homo_sapiens
Punta_Toro_virus_strain_Adames_N_protein_and_NS_protein_genes,_complete_cds_|NC_039193.1|Homo_sapiens
Avian_paramyxovirus_6_strain_APMV-6/Goose/FarEast/4440/2003,_complete_genome_|NC_039194.1|Anser
Avian_paramyxovirus_8_strain_goose/Delaware/1053/76,_complete_genome_|NC_039195.1|Branta_canadensis
Feline_morbillivirus_strain_761U,_complete_genome_|NC_039196.1|Felis_catus
Menangle_virus_isolate_Australia/bat/2009/Cedar_Grove,_complete_genome_|NC_039197.1|Pteropus
Teviot_virus_isolate_Cedar_Grove,_complete_genome_|NC_039198.1|Pteropus_sp.
Balsa_almendravirus,_complete_genome_|NC_039200.1|Psorophora_albigenu
Curionopolis_virus_nucleoprotein,_phosphoprotein,_matrix,_hypothetical_proteins,_glycoprotein,_hypothetical_proteins,_and_polymerase_genes,_complete_cds_|NC_039201.1|Culicoides
Flanders_virus_nucleoprotein,_phosphoprotein,_hypothetical_proteins,_matrix,_glycoprotein,_hypothetical_protein,_and_polymerase_genes,_complete_cds_|NC_039202.1|Culiseta_melanura
Polygonum_ringspot_tospovirus_isolate_Plg13_segment_M,_complete_sequence_|NC_039203.1|Fallopia_dumetorum
Polygonum_ringspot_tospovirus_isolate_Plg13_segment_L,_complete_sequence_|NC_039204.1|Fallopia_dumetorum
Polygonum_ringspot_tospovirus_isolate_Plg13_segment_S,_complete_sequence_|NC_039205.1|Fallopia_dumetorum
Jurona_virus_nucleoprotein,_phosphoprotein,_matrix,_glycoprotein,_and_polymerase_genes,_complete_cds_|NC_039206.1|Haemagogus
Betacoronavirus_Erinaceus/VMC/DEU/2012_isolate_ErinaceusCoV/2012-174/GER/2012,_complete_genome_|NC_039207.1|Erinaceus_europaeus
Porcine_coronavirus_HKU15_strain_HKU15-155,_complete_genome_|NC_039208.1|Sus_scrofa
Equine_rhinitis_A_virus_strain_PERV-1,_complete_genome_|NC_039209.1|Equus_caballus
Foot-and-mouth_disease_virus_O_isolate_o6pirbright_iso58,_complete_genome_|NC_039210.1|
Rabbit_picornavirus_strain_Ny4H/2010/HUN_polyprotein_gene,_partial_cds_|NC_039211.1|Oryctolagus_cuniculus
Fathead_minnow_picornavirus_isolate_FHMPV-1,_complete_genome_|NC_039212.1|Pimephales_promelas
Agrotis_segetum_granulovirus_strain_DA,_complete_genome_|NC_039213.1|Agrotis_segetum
Dragonfly_cyclovirus_4_isolate_DfCyV-4_US-DFKWGX-2012,_complete_genome_|NC_039214.1|Rhionaeschna_multicolor
Cyclovirus_VN_isolate_hcf2,_complete_genome_|NC_039215.1|Homo_sapiens
Bell_pepper_endornavirus_isolate_Penol,_complete_genome_|NC_039216.1|Capsicum_annuum
Phaseolus_vulgaris_endornavirus_1_isolate_PvEV-1_Brazil_polyprotein_gene,_complete_cds_|NC_039217.1|Phaseolus_vulgaris
Kyasanur_forest_disease_virus_polyprotein_gene,_complete_cds_|NC_039218.1|
Royal_Farm_virus_from_Afghanistan_polyprotein_gene,_complete_cds_|NC_039219.1|
Thiafora_virus_isolate_AnD_11411_RNA-dependent_RNA_polymerase_gene,_complete_cds_|NC_039220.1|Crocidura
Thiafora_virus_isolate_AnD_11411_envelope_glycoprotein_gene,_complete_cds_|NC_039221.1|Crocidura
Thiafora_virus_isolate_AnD_11411_nucleoprotein_gene,_complete_cds_|NC_039222.1|Crocidura
Newcastle_disease_virus_isolate_JSD0812,_complete_genome_|NC_039223.1|Anas_platyrhynchos
Beet_soil-borne_mosaic_virus_isolate_MRM06_segment_RNA3,_complete_sequence_|NC_039224.1|
Beet_soil-borne_mosaic_virus_isolate_MRM06_segment_RNA2,_complete_sequence_|NC_039225.1|Beta_vulgaris
Beet_soil-borne_mosaic_virus_isolate_MRM06_segment_RNA1,_complete_sequence_|NC_039226.1|Beta_vulgaris
Beet_soil-borne_mosaic_virus_isolate_MRM06_segment_RNA4,_complete_sequence_|NC_039227.1|Beta_vulgaris
Koala_retrovirus_gag_protein_(gag),_pol_protein_(pol),_and_envelope_protein_(env)_genes,_complete_cds_|NC_039228.1|
Tomato_yellow_leaf_curl_Yunnan_alphasatellite_isolate_YN4368-69,_complete_sequence_|NC_039229.1|Sonchus_arvensis
Avian_paramyxovirus_2_strain_APMV-2/Chicken/California/Yucaipa/56,_complete_genome_|NC_039230.1|Gallus_gallus
Avian_pneumovirus_strain_LAH_A,_complete_genome_|NC_039231.1|
Gossypium_darwinii_symptomless_alphasatellite_isolate_Dav-alpha-7c_segment_DNA-alpha,_complete_sequence_|NC_039232.1|Gossypium_davidsonii
Vernonia_yellow_vein_Fujian_virus_alphasatellite_clone_BG-Vamban,_complete_sequence_|NC_039233.1|Vigna_mungo
Chilli_leaf_curl_alphasatellite_clone_VIRO_273,_complete_sequence_|NC_039234.1|Capsicum
Chicken_megrivirus_strain_chicken/B21-CHV/2012/HUN,_complete_genome_|NC_039235.1|Gallus_gallus
Solenopsis_invicta_virus_2_isolate_Florida-Sin,_complete_genome_|NC_039236.1|Solenopsis_invicta
Bovine_viral_diarrhea_virus_2_polyprotein_gene,_complete_cds_|NC_039237.1|
Rhesus_macaque_simian_foamy_virus_isolate_SFVmmu_K3T,_complete_genome_|NC_039238.1|Macaca_mulatta
Malvastrum_yellow_mosaic_virus_associated_DNA1_complete_sequence,_isolate_Hn39_|NC_039239.1|
Sida_leaf_curl_virus-associated_DNA_1,_isolate_[Pakistan:17-5:06]_Lahore4_|NC_039240.1|Alcea_rosea
Eggplant_latent_viroid_complete_genome,_isolate_2_|NC_039241.1|Solanum_melongena
Feline_foamy_virus_DNA,_complete_genome_|NC_039242.1|
Human_orthopneumovirus_Subgroup_A,_complete_cds_|NC_038235.1|
Iris_yellow_spot_virus_M_segment,_complete_sequence_|NC_038232.1|
Tomato_rugose_yellow_leaf_curl_virus_isolate_U1_clone_3_segment_DNA_B,_complete_sequence_|NC_038234.1|Solanum_lycopersicum
Sulfolobus_polyhedral_virus_1_isolate_S14,_complete_genome_|NC_038017.1|Sulfolobus_sp.
Magnaporthe_oryzae_chrysovirus_1_A_gene_for_hypothetical_protein,_complete_cds,_segment_5_|NC_038011.1|Pyricularia_oryzae
Sichuan_takin_enterovirus,_complete_genome_|NC_037654.1|Budorcas_taxicolor_tibetana
Sichuan_takin_astrovirus,_complete_genome_|NC_037655.1|Budorcas_taxicolor_tibetana
Sea_otter_poxvirus_strain_ELK,_complete_genome_|NC_037656.1|Enhydra_lutris_kenyoni
Bat_Middle_East_Hepe-Astrovirus_isolate_KSA403,_partial_genome_|NC_037657.1|Eidolon_helvum
Botrytis_cinerea_hypovirus_1,_complete_genome_|NC_037659.1|Botrytis_cinerea
Botrytis_cinerea_fusarivirus_1,_complete_genome_|NC_037660.1|Botrytis_cinerea
Botrytis_cinerea_fusarivirus_1-S1,_complete_genome_|NC_037661.1|Botrytis_cinerea
Botrytis_cinerea_fusarivirus_1-S2,_complete_genome_|NC_037662.1|Botrytis_cinerea
Botrytis_cinerea_hypovirus_1_satellite-like_RNA,_complete_genome_|NC_037663.1|Botrytis_cinerea
Botrytis_cinerea_hypovirus_1_satellite-like_RNA-S,_complete_genome_|NC_037664.1|Botrytis_cinerea
Pandoravirus_macleodensis,_complete_genome_|NC_037665.1|Acanthamoeba_sp.
Pandoravirus_neocaledonia,_complete_genome_|NC_037666.1|Acanthamoeba_sp.
Pandoravirus_quercus,_complete_genome_|NC_037667.1|Acanthamoeba_sp.
Zerdali_virus_strain_37_segment_M,_complete_sequence_|NC_037612.1|Phlebotomus
Zerdali_virus_strain_37_segment_S,_complete_sequence_|NC_037613.1|Phlebotomus
Toros_virus_strain_213_segment_M,_complete_sequence_|NC_037614.1|Phlebotomus
Toros_virus_strain_213_segment_S,_complete_sequence_|NC_037615.1|Phlebotomus
Arrabida_virus_strain_PoSFPhlebV/126/2008_segment_M,_complete_sequence_|NC_037616.1|
Arrabida_virus_strain_PoSFPhlebV/126/2008_segment_S,_complete_sequence_|NC_037617.1|
Pavonia_yellow_mosaic_virus_isolate_BR-Alb51-14_segment_DNA-B,_complete_sequence_|NC_037611.1|Pavonia
Maize_rough_dwarf_fijivirus_RNA_dependent_RNA_polymerase_(P1)_gene,_complete_cds_|NC_037570.1|Zea_mays
Maize_rough_dwarf_fijivirus_structural_protein_(P3)_gene,_complete_cds_|NC_037571.1|Zea_mays
Maize_rough_dwarf_fijivirus_structural_protein_(P4)_gene,_complete_cds_|NC_037572.1|Zea_mays
Maize_rough_dwarf_fijivirus_nonstructural_protein_(P6)_gene,_complete_cds_|NC_037573.1|Zea_mays
Maize_rough_dwarf_fijivirus_nonstructural_protein_(P7-1)_and_nonstructural_protein_(P7-2)_genes,_complete_cds_|NC_037574.1|Zea_mays
Maize_rough_dwarf_fijivirus_minor_core_structural_protein_(P8)_gene,_complete_cds_|NC_037575.1|Zea_mays
Maize_rough_dwarf_fijivirus_nonstructural_protein_(P9-1)_and_nonstructural_protein_(P9-2)_genes,_complete_cds_|NC_037576.1|Zea_mays
Maize_rough_dwarf_fijivirus_major_outer_structural_protein_(P10)_gene,_complete_cds_|NC_037577.1|Zea_mays
Maize_rough_dwarf_fijivirus_structural_protein_(P2)_gene,_complete_cds_|NC_037578.1|Zea_mays
UNVERIFIED:_Callinectes_sapidus_reovirus_1_segment_2_VP2-like_gene,_complete_sequence_|NC_037579.1|Callinectes_sapidus
UNVERIFIED:_Callinectes_sapidus_reovirus_1_segment_3_VP3-like_gene,_complete_sequence_|NC_037580.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_4_VP4A_and_VP4B_genes,_complete_cds_|NC_037581.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_5_VP5_gene,_complete_cds_|NC_037582.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_6_VP6_gene,_complete_cds_|NC_037583.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_7_VP7_gene,_complete_cds_|NC_037584.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_8_VP8_gene,_complete_cds_|NC_037585.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_9_VP9_gene,_complete_cds_|NC_037586.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_10_VP10_gene,_complete_cds_|NC_037587.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_12_VP12_gene,_complete_cds_|NC_037588.1|Callinectes_sapidus
Callinectes_sapidus_reovirus_1_segment_11_VP11_gene,_complete_cds_|NC_037589.1|Callinectes_sapidus
Rhynchosia_golden_mosaic_virus_strain_1068_segment_DNA-B,_complete_sequence_|NC_037305.1|Glycine_max
Rhynchosia_golden_mosaic_virus_isolate_Soybean_1068_segment_DNA-A,_complete_sequence_|NC_037306.1|
Pepper_cryptic_virus_1_isolate_Jal-01_segment_RNA1,_complete_sequence_|NC_037095.1|Capsicum_annuum
Pepper_cryptic_virus_1_isolate_Jal-01_segment_RNA2,_complete_sequence_|NC_037096.1|Capsicum_annuum
Hyacinth_mosaic_virus_isolate_Nannup_BC28,_complete_genome_|NC_037051.1|Hyacinthus_orientalis
Pepper_enamovirus_isolate_R1_ORF0,_replicase_polyprotein,_coat_protein,_and_ORF5_genes,_complete_cds_|NC_037052.1|Capsicum
Bovine_parvovirus_3_isolate_ujs1794_nonstructural_protein_and_structural_protein_genes,_complete_cds_|NC_037053.1|
Erysiphe_necator_mitovirus_1_isolate_gpm_4_RNA-dependent_RNA_polymerase_gene,_complete_cds_|NC_037054.1|Erysiphe_necator
Erysiphe_necator_mitovirus_2_isolate_gpm_5_RNA-dependent_RNA_polymerase_gene,_complete_cds_|NC_037055.1|Erysiphe_necator
Erysiphe_necator_mitovirus_3_isolate_gpm_6_RNA-dependent_RNA_polymerase_gene,_complete_cds_|NC_037056.1|Erysiphe_necator
Dishui_lake_phycodnavirus_1,_complete_genome_|NC_037057.1|
Grapevine_virus_I_isolate_VID499,_complete_genome_|NC_037058.1|Vitis_vinifera
Leptonychotes_weddellii_papillomavirus_5_isolate_12975,_complete_genome_|NC_037059.1|Leptonychotes_weddellii
Varroa_mite_associated_virus_1_isolate_VPVL_46,_complete_genome_|NC_037060.1|Varroa_destructor
Leptonychotes_weddellii_papillomavirus_1_isolate_13241,_complete_genome_|NC_037061.1|Leptonychotes_weddellii
Varroa_mite_associated_genomovirus_1_isolate_VPVL_36,_complete_genome_|NC_037062.1|Varroa_destructor
Limeum_africanum_associated_virus_isolate_2-12-F,_complete_genome_|NC_037063.1|Limeum_africanum
Leptonychotes_weddellii_papillomavirus_4_isolate_12091,_complete_genome_|NC_037064.1|Leptonychotes_weddellii
Exomis_microphylla_associated_virus_isolate_2-90-C1,_complete_genome_|NC_037065.1|Exomis_microphylla
Juncus_maritimus_associated_virus_isolate_13-FMN-1,_complete_genome_|NC_037066.1|Juncus_maritimus
Leptonychotes_weddellii_papillomavirus_2_isolate_11445,_complete_genome_|NC_037067.1|Leptonychotes_weddellii
Polygala_garcinii_associated_virus_isolate_1-1,_complete_genome_|NC_037068.1|Polygala_garcinii
Leptonychotes_weddellii_papillomavirus_3_isolate_17181,_complete_genome_|NC_037069.1|Leptonychotes_weddellii
Cyclovirus_PK5006,_complete_genome_|NC_036877.1|Homo_sapiens
Saffron_latent_virus_isolate_Ir-Kh1,_complete_genome_|NC_036802.1|Crocus_sativus
Pepper_vein_yellows_virus_5_isolate_Spain-Almeria_2-2013,_complete_genome_|NC_036803.1|Capsicum_annuum
Ictalurid_herpesvirus_2_strain_760/94,_complete_genome_|NC_036579.1|Ameiurus_melas
Kasokero_virus_isolate_Z-52963_RNA-dependent_RNA_polymerase_gene,_complete_cds_|NC_036636.1|Rousettus_aegyptiacus
Influenza_D_virus_(D/swine/Oklahoma/1334/2011)_segment_2_polymerase_PB1_(PB1)_gene,_complete_cds_|NC_036615.1|Sus_scrofa
Influenza_D_virus_(D/swine/Oklahoma/1334/2011)_segment_1_polymerase_PB2_(PB2)_gene,_complete_cds_|NC_036616.1|Sus_scrofa
Influenza_D_virus_(D/swine/Oklahoma/1334/2011)_segment_5_nucleoprotein_(NP)_gene,_complete_cds_|NC_036617.1|Sus_scrofa
Influenza_D_virus_(D/swine/Oklahoma/1334/2011)_segment_4_hemagglutinin-esterase_precursor_(HEF)_gene,_complete_cds_|NC_036618.1|Sus_scrofa
Influenza_D_virus_(D/swine/Oklahoma/1334/2011)_segment_3_polymerase_3_(P3)_gene,_complete_cds_|NC_036619.1|Sus_scrofa
Influenza_D_virus_(D/swine/Oklahoma/1334/2011)_segment_6_P42_(P42)_gene,_complete_cds_|NC_036620.1|Sus_scrofa
Influenza_D_virus_(D/swine/Oklahoma/1334/2011)_segment_7_nonstructural_protein_2_(NS2)_and_nonstructural_protein_1_(NS1)_genes,_complete_cds_|NC_036621.1|Sus_scrofa
Blueberry_mosaic_associated_virus_segment_RNA3,_complete_sequence_|NC_036634.1|Vaccinium
Blueberry_mosaic_associated_virus_segment_RNA1,_complete_sequence_|NC_036635.1|Vaccinium
Allium_cepa_amalgavirus_1_strain_AcAV1-OH1,_complete_genome_|NC_036580.1|
Allium_cepa_amalgavirus_2_strain_AcAV2-DH5225,_complete_genome_|NC_036581.1|
Flamingopox_virus_FGPVKD09,_complete_genome_|NC_036582.1|Phoeniconaias_minor
